01 08102021 04 00 15.2 22.1 1.6 1
02 08102021 04 00 -0.9 3 11.3 1
03 08102021 04 00 22.3 18.1 21.8 1
04 08102021 04 00 22.7 -5.6 13.8 3
05 08102021 04 00 10.4 9.9 29.5 3
06 08102021 04 00 7.9 21.3 14.4 0
07 08102021 04 00 1 11.1 29.5 2
08 08102021 04 00 15.3 17.6 14.4 1
09 08102021 04 00 21.3 10 11.2 2
10 08102021 04 00 23.1 -3.1 28.3 3
01 08102021 04 01 -3 -17 -27 0
02 08102021 04 01 -12 -21 3 1
03 08102021 04 01 24 18 15 2
04 08102021 04 01 23 -24 -28 2
05 08102021 04 01 18 20 26 1
06 08102021 04 01 -23 -1 0 2
07 08102021 04 01 -16 19 -25 3
08 08102021 04 01 -15 18 -12 0
09 08102021 04 01 -16 25 12 1
10 08102021 04 01 5 -2 -21 3
01 08102021 04 02 -6 -25 27 2
02 08102021 04 02 22 -7 9 2
03 08102021 04 02 -30 6 -11 3
04 08102021 04 02 27 2 17 3
05 08102021 04 02 28 27 13 3
06 08102021 04 02 25 -17 -27 3
07 08102021 04 02 -22 -26 17 3
08 08102021 04 02 17 21 21 0
09 08102021 04 02 12 -20 25 2
10 08102021 04 02 -2 -4 22 1
01 08102021 04 03 2 -30 1 0
02 08102021 04 03 4 17 4 2
03 08102021 04 03 -25 11 27 2
04 08102021 04 03 2 15 -29 2
05 08102021 04 03 14 0 24 3
06 08102021 04 03 3 13 24 2
07 08102021 04 03 2 22 -22 3
08 08102021 04 03 -27 5 15 3
09 08102021 04 03 -19 -24 15 2
10 08102021 04 03 -17 -22 -17 3
01 08102021 04 04 29 13 21 3
02 08102021 04 04 0 29 30 0
03 08102021 04 04 13 -16 -25 3
04 08102021 04 04 -2 10 2 1
05 08102021 04 04 4 1 -1 1
06 08102021 04 04 6 20 -3 0
07 08102021 04 04 13 0 23 2
08 08102021 04 04 -16 -24 19 0
09 08102021 04 04 7 21 -13 0
10 08102021 04 04 26 -5 10 2
01 08102021 04 05 0 8 -18 3
02 08102021 04 05 -11 -9 29 1
03 08102021 04 05 3 15 -3 0
04 08102021 04 05 -17 19 -25 1
05 08102021 04 05 -22 -19 -7 0
06 08102021 04 05 15 -13 5 3
07 08102021 04 05 24 -16 24 2
08 08102021 04 05 -20 21 -2 2
09 08102021 04 05 7 -13 -14 1
10 08102021 04 05 -20 3 -9 3
01 08102021 04 06 26 -17 -3 0
02 08102021 04 06 -7 24 -25 3
03 08102021 04 06 -27 28 3 2
04 08102021 04 06 -20 -2 11 3
05 08102021 04 06 -17 0 -7 2
06 08102021 04 06 16 -10 8 1
07 08102021 04 06 13 25 20 0
08 08102021 04 06 -16 12 -1 3
09 08102021 04 06 -30 26 -4 3
10 08102021 04 06 -26 27 -18 2
01 08102021 04 07 -18 -14 -6 2
02 08102021 04 07 5 25 -26 0
03 08102021 04 07 -24 30 -23 2
04 08102021 04 07 -16 -26 18 1
05 08102021 04 07 25 -10 -18 3
06 08102021 04 07 -24 23 -18 3
07 08102021 04 07 20 18 -8 0
08 08102021 04 07 30 -10 27 1
09 08102021 04 07 -16 -17 13 0
10 08102021 04 07 -19 -10 8 2
01 08102021 04 08 16 3 12 0
02 08102021 04 08 -25 -4 30 3
03 08102021 04 08 -14 19 25 2
04 08102021 04 08 -8 -16 -30 0
05 08102021 04 08 1 -9 -23 1
06 08102021 04 08 16 4 30 0
07 08102021 04 08 15 8 -3 0
08 08102021 04 08 -1 -24 -26 2
09 08102021 04 08 -30 -23 26 0
10 08102021 04 08 -26 -4 16 2
01 08102021 04 09 17 18 -18 1
02 08102021 04 09 -19 23 25 0
03 08102021 04 09 -30 25 12 0
04 08102021 04 09 26 -28 -18 3
05 08102021 04 09 9 3 8 3
06 08102021 04 09 -25 12 -11 0
07 08102021 04 09 24 -23 -14 2
08 08102021 04 09 6 14 28 1
09 08102021 04 09 27 -15 9 0
10 08102021 04 09 -23 1 -14 2
01 08102021 04 10 15 -9 -5 2
02 08102021 04 10 8 13 30 2
03 08102021 04 10 11 6 19 1
04 08102021 04 10 19 -29 2 3
05 08102021 04 10 11 -3 -10 1
06 08102021 04 10 -29 -20 30 3
07 08102021 04 10 22 13 -8 3
08 08102021 04 10 5 16 -15 2
09 08102021 04 10 -24 22 5 2
10 08102021 04 10 23 9 30 3
